,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
1, 6 Series,2018,27000.0,Automatic,14827.0,Petrol,145.0,42.8,2.0
14, X3,2017,22000.0,Automatic,19057.0,Diesel,145.0,54.3,2.0
26, 3 Series,2019,17800.0,Automatic,22310.0,Diesel,145.0,64.2,2.0
38, X1,2017,18900.0,Automatic,33514.0,Diesel,145.0,60.1,2.0
40, 3 Series,2016,15800.0,Manual,11231.0,Petrol,145.0,47.9,2.0
49, 1 Series,2017,11200.0,Manual,40399.0,Diesel,145.0,68.9,2.0
61, 1 Series,2017,14500.0,Automatic,27245.0,Diesel,145.0,68.9,2.0
63, X1,2017,14100.0,Automatic,55782.0,Diesel,145.0,65.7,2.0
67, 3 Series,2017,13600.0,Manual,22763.0,Petrol,145.0,48.7,2.0
72, 2 Series,2017,10900.0,Manual,62021.0,Diesel,145.0,65.7,2.0
88, 3 Series,2018,19490.0,Automatic,30703.0,Diesel,145.0,57.6,2.0
96, X1,2017,17800.0,Automatic,31238.0,Diesel,145.0,55.4,2.0
100, X3,2016,15900.0,Automatic,59692.0,Diesel,145.0,54.3,2.0
116, X1,2017,16700.0,Automatic,34666.0,Diesel,145.0,65.7,2.0
119, X1,2017,14700.0,Manual,38405.0,Diesel,145.0,68.9,2.0
120, 3 Series,2018,19000.0,Automatic,20681.0,Diesel,145.0,64.2,2.0
121, 3 Series,2017,15400.0,Automatic,20529.0,Diesel,145.0,65.7,2.0
122, X3,2016,19000.0,Automatic,42691.0,Diesel,145.0,54.3,2.0
125, 5 Series,2018,22600.0,Automatic,23195.0,Diesel,145.0,65.7,2.0
130, X4,2016,21400.0,Automatic,31084.0,Diesel,145.0,54.3,2.0
135, X1,2017,14800.0,Manual,31518.0,Diesel,145.0,60.1,2.0
143, 1 Series,2017,15000.0,Automatic,26052.0,Diesel,145.0,68.9,2.0
144, 3 Series,2017,17100.0,Automatic,31528.0,Diesel,145.0,64.2,2.0
149, 4 Series,2018,16900.0,Automatic,27133.0,Petrol,145.0,44.8,2.0
155, 4 Series,2017,16000.0,Manual,16359.0,Petrol,145.0,46.3,2.0
156, 4 Series,2017,16600.0,Automatic,46913.0,Diesel,145.0,65.7,2.0
158, 4 Series,2017,16750.0,Manual,24882.0,Petrol,145.0,46.3,2.0
160, 3 Series,2018,15700.0,Automatic,29394.0,Petrol,145.0,48.7,2.0
166, X1,2020,31498.0,Semi-Auto,1560.0,Diesel,145.0,60.1,2.0
176, 4 Series,2016,17995.0,Semi-Auto,22476.0,Petrol,145.0,48.7,2.0
181, 3 Series,2017,16998.0,Semi-Auto,8096.0,Petrol,145.0,51.4,2.0
187, 5 Series,2019,25998.0,Semi-Auto,11115.0,Diesel,145.0,65.7,2.0
193, X3,2014,17495.0,Semi-Auto,54075.0,Diesel,145.0,54.3,2.0
196, 1 Series,2019,19998.0,Semi-Auto,4812.0,Petrol,145.0,47.9,2.0
198, 3 Series,2019,27998.0,Semi-Auto,4250.0,Diesel,145.0,48.7,2.0
202, X1,2016,18498.0,Semi-Auto,25994.0,Diesel,145.0,55.4,2.0
207, 5 Series,2017,22998.0,Semi-Auto,19379.0,Diesel,145.0,65.7,2.0
209, 5 Series,2019,29898.0,Semi-Auto,2743.0,Diesel,145.0,60.1,2.0
210, 3 Series,2019,22998.0,Semi-Auto,6000.0,Petrol,145.0,48.7,2.0
211, 3 Series,2019,29998.0,Manual,3980.0,Diesel,145.0,53.3,2.0
212, 4 Series,2019,29898.0,Semi-Auto,101.0,Diesel,145.0,60.1,2.0
213, 5 Series,2017,20498.0,Semi-Auto,12725.0,Diesel,145.0,68.9,2.0
216, 4 Series,2018,22995.0,Automatic,7200.0,Petrol,145.0,48.7,2.0
218, 5 Series,2018,26995.0,Automatic,6800.0,Diesel,145.0,68.9,2.0
220, 5 Series,2018,25995.0,Semi-Auto,8700.0,Diesel,145.0,49.6,2.0
223, 5 Series,2017,22998.0,Automatic,15838.0,Diesel,145.0,60.1,2.0
